"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN"
"BUM00015614","SOFIA, BU","2022-01-01","0.0","5.7","13.0",
"BUM00015614","SOFIA, BU","2022-01-02","0.0","7.2","12.6",
"BUM00015614","SOFIA, BU","2022-01-03","0.0","3.8","12.1",
"BUM00015614","SOFIA, BU","2022-01-04","0.0","2.4","9.4",
"BUM00015614","SOFIA, BU","2022-01-05","0.0","3.4","12.5",
"BUM00015614","SOFIA, BU","2022-01-06","0.0","5.3","16.7",
"BUM00015614","SOFIA, BU","2022-01-07","0.0","3.0","5.4",
"BUM00015614","SOFIA, BU","2022-01-08","0.0","3.7",,"1.1"
"BUM00015614","SOFIA, BU","2022-01-09","0.0","3.9",,
"BUM00015614","SOFIA, BU","2022-01-10","1.0","3.3","4.5","1.4"
"BUM00015614","SOFIA, BU","2022-01-11","8.6","-0.2","1.8","-2.4"
"BUM00015614","SOFIA, BU","2022-01-12","0.8","-2.9",,"-4.7"
"BUM00015614","SOFIA, BU","2022-01-13","0.0","-4.9",,"-6.9"
"BUM00015614","SOFIA, BU","2022-01-14","0.0","-0.6","5.0","-7.1"
"BUM00015614","SOFIA, BU","2022-01-15","0.0","2.7",,
"BUM00015614","SOFIA, BU","2022-01-16","0.0","-1.7",,
"BUM00015614","SOFIA, BU","2022-01-17","0.0","-0.2","5.1",
"BUM00015614","SOFIA, BU","2022-01-18","1.0","-0.4","4.5",
"BUM00015614","SOFIA, BU","2022-01-19","0.0","-2.3","2.3","-6.1"
"BUM00015614","SOFIA, BU","2022-01-20","0.0","-0.5",,
"BUM00015614","SOFIA, BU","2022-01-21","5.1","-1.3","5.1",
"BUM00015614","SOFIA, BU","2022-01-22","4.1","-5.0","-1.4",
"BUM00015614","SOFIA, BU","2022-01-23","0.0","-5.0",,
"BUM00015614","SOFIA, BU","2022-01-24","1.5","-7.2","-3.7",
"BUM00015614","SOFIA, BU","2022-01-25","0.0","-10.8","-4.5",
"BUM00015614","SOFIA, BU","2022-01-26","0.0","-5.4",,
"BUM00015614","SOFIA, BU","2022-01-27","0.0","-1.4","2.4",
"BUM00015614","SOFIA, BU","2022-01-28","0.0","-2.3","4.6",
"BUM00015614","SOFIA, BU","2022-01-29","0.0","0.6",,
"BUM00015614","SOFIA, BU","2022-01-30","0.0","-1.0",,"-8.7"
"BUM00015614","SOFIA, BU","2022-01-31","0.5","1.9",,
"BUM00015614","SOFIA, BU","2022-02-01","0.0","-0.6","3.0",
"BUM00015614","SOFIA, BU","2022-02-02","8.6","-0.2","2.3","-1.6"
"BUM00015614","SOFIA, BU","2022-02-03","1.8","0.8","4.2",
"BUM00015614","SOFIA, BU","2022-02-04","0.3","-3.0","3.1",
"BUM00015614","SOFIA, BU","2022-02-05","0.0","0.2","9.1",
"BUM00015614","SOFIA, BU","2022-02-06","0.0","3.4","9.1",
"BUM00015614","SOFIA, BU","2022-02-07","0.0","2.7","9.6",
"BUM00015614","SOFIA, BU","2022-02-08","4.3","1.3","3.0","-0.7"
"BUM00015614","SOFIA, BU","2022-02-09","0.0","2.9","6.4",
"BUM00015614","SOFIA, BU","2022-02-10","0.0","1.8","10.3",
"BUM00015614","SOFIA, BU","2022-02-11","0.0","3.3",,
"BUM00015614","SOFIA, BU","2022-02-12","0.0","4.1","10.0",
"BUM00015614","SOFIA, BU","2022-02-13","0.0","2.8",,
"BUM00015614","SOFIA, BU","2022-02-14","0.0","1.4",,"-2.1"
"BUM00015614","SOFIA, BU","2022-02-15","0.0","2.6",,
"BUM00015614","SOFIA, BU","2022-02-16","0.0","3.7",,
"BUM00015614","SOFIA, BU","2022-02-17","0.0","5.2","14.5",
"BUM00015614","SOFIA, BU","2022-02-18","1.5","6.6","11.2",
"BUM00015614","SOFIA, BU","2022-02-19","0.0","5.5","16.1",
"BUM00015614","SOFIA, BU","2022-02-20","0.0","7.1",,
"BUM00015614","SOFIA, BU","2022-02-21","0.8","8.8",,
"BUM00015614","SOFIA, BU","2022-02-22","1.0","5.2","12.6","2.4"
"BUM00015614","SOFIA, BU","2022-02-23","8.4","5.1",,"2.5"
"BUM00015614","SOFIA, BU","2022-02-24","0.0","2.4",,
"BUM00015614","SOFIA, BU","2022-02-25","0.0","1.7",,
"BUM00015614","SOFIA, BU","2022-02-26","0.0","2.9",,
"BUM00015614","SOFIA, BU","2022-02-27","14.0","1.3","5.5","-0.1"
"BUM00015614","SOFIA, BU","2022-02-28","10.9","-0.6","1.2",
"BUM00015614","SOFIA, BU","2022-03-01","0.0","-1.4",,"-7.1"
"BUM00015614","SOFIA, BU","2022-03-02","0.0","-0.1","3.8",
"BUM00015614","SOFIA, BU","2022-03-03","0.0","1.2",,
"BUM00015614","SOFIA, BU","2022-03-04","0.0","0.6",,
"BUM00015614","SOFIA, BU","2022-03-05","0.0","0.6",,
"BUM00015614","SOFIA, BU","2022-03-06","5.3","0.5","1.0","-0.7"
"BUM00015614","SOFIA, BU","2022-03-07","4.3","0.1","1.1",
"BUM00015614","SOFIA, BU","2022-03-08","1.8","-1.1",,"-3.0"
"BUM00015614","SOFIA, BU","2022-03-09","2.0","-1.7","2.3","-4.1"
"BUM00015614","SOFIA, BU","2022-03-10","0.5","-2.9",,
"BUM00015614","SOFIA, BU","2022-03-11","0.0","-3.9",,"-9.6"
"BUM00015614","SOFIA, BU","2022-03-12","2.0","-3.9",,
"BUM00015614","SOFIA, BU","2022-03-13","0.0","-2.8",,"-10.8"
"BUM00015614","SOFIA, BU","2022-03-14","0.0","-0.2","7.1",
"BUM00015614","SOFIA, BU","2022-03-15","0.0","2.9",,
"BUM00015614","SOFIA, BU","2022-03-16","0.0","4.2","8.6",
"BUM00015614","SOFIA, BU","2022-03-17","1.3","2.6","6.4","0.7"
"BUM00015614","SOFIA, BU","2022-03-18","1.3","0.7","4.2",
"BUM00015614","SOFIA, BU","2022-03-19","0.0","-1.8","3.2","-8.4"
"BUM00015614","SOFIA, BU","2022-03-20","0.0","-1.0",,
"BUM00015614","SOFIA, BU","2022-03-21","0.0","0.8",,
"BUM00015614","SOFIA, BU","2022-03-22","0.0","4.7",,
"BUM00015614","SOFIA, BU","2022-03-23","0.0","5.4",,
"BUM00015614","SOFIA, BU","2022-03-24","0.0","7.6",,
"BUM00015614","SOFIA, BU","2022-03-25","0.0","9.9",,
"BUM00015614","SOFIA, BU","2022-03-26","0.0","7.8",,
"BUM00015614","SOFIA, BU","2022-03-27","0.0","9.1","19.2",
"BUM00015614","SOFIA, BU","2022-03-28","0.0","9.7",,
"BUM00015614","SOFIA, BU","2022-03-29","0.0","10.2","18.5",
"BUM00015614","SOFIA, BU","2022-03-30","0.0","11.1",,
